Place,Count
Raab,3.0
Rantzau,9.0
Rappach,3.0
Rastatt,1.0
Ratzeburg,1.0
Ravenna,1.0
Regensburg,4.0
Rhein,16.0
Rhône,1.0
Riga,3.0
Rijswijk,3.0
Rom,58.0
Rotterdam,1.0
Ruhr,4.0
Russland,2.0
Römer,6.0
Sachsen,55.0
Sachsen-Gotha,1.0
Sachsen-Lauenburg,1.0
Sachsen-Merseburg,2.0
Saint Cyr,1.0
Saint Germain,4.0
Saint James,1.0
Saint-Germain,2.0
Salisbury,4.0
Salm,13.0
Salzburg,1.0
Salzdahlum,7.0
San Spirito,1.0
Savoyen,9.0
Scarlati,1.0
Schlesien,3.0
Schmettau,2.0
Schotte,9.0
Schottland,12.0
Schulenburg,17.0
Schwarze Meer,1.0
Schwede,123.0
Schweden,122.0
Schwedt,1.0
Schönhausen,2.0
Seeland,1.0
Seesen,1.0
Sesto,2.0
Shrewsbury,3.0
Siebenbürgen,3.0
Siena,1.0
Singen,1.0
Sizilien,2.0
Smyrna,1.0
Soest,1.0
Sorbonne,4.0
Spandau,4.0
Spanheim,7.0
Spanien,36.0
Spanier,14.0
Stade,2.0
Stamford,8.0
Starhemberg,2.0
Steevenswert,1.0
Steiermark,1.0
Sternberg,1.0
Stettin,3.0
Stockholm,2.0
Stormarn,1.0
Strahlenheim,3.0
Straßburg,1.0
Styrum,5.0
Stör,8.0
Sulzbach,3.0
Tangermünde,1.0
Temeswar,2.0
Teplitz,3.0
Tettau,1.0
Thorn,1.0
Thüringen,1.0
Tirol,4.0
Tiroler,1.0
Tokaj,1.0
Torgau,6.0
Toskana,4.0
Transsilvanien,2.0
Trier,2.0
Tönning,5.0
Türke,19.0
Türkei,1.0
Ulm,4.0
Ungarn,16.0
Ursel,18.0
Utrecht,4.0
Vaudémont,2.0
Venedig,11.0
Venetien,1.0
Veneto,1.0
Venezianer,5.0
Venlo,1.0
Vesuv,1.0
Vigo,1.0
Wagenbourg,1.0
Walachei,1.0
Walachen,2.0
Wales,16.0
Wangenheim,4.0
Wardein,1.0
Warschau,17.0
Wartenberg,16.0
Wassenaer,1.0
Weichsel,1.0
Wesel,2.0
Weser,1.0
Weyhausen,1.0
Wien,110.0
Wildeshausen,2.0
Wismar,1.0
Wittenberg,3.0
Wolfenbüttel,72.0
Württemberg,6.0
York,1.0
Zell,3.0
Zellerfeld,2.0
Zerbst,2.0
Ziesar,1.0
Zweibrücken,3.0
Ägypten,3.0
Ägypter,5.0
Äthiopien,1.0
Ätna,1.0
