Place,Count
Aachen,1
Anjou,1
Auvergne,2
Baden,1
Bayern,1
Bevern,1
Blankenburg,1
Braunschweig,12
Brüssel,2
Cambridge,1
Den Haag,2
Deutschland,1
Dohna,2
Dänemark,2
England,11
Europa,1
Franken,1
Frankfurt,1
Frankreich,11
Großbritannien,3
Hannover,22
Hessen,1
Holland,2
Italien,2
Kassel,1
London,3
Münster,4
Neuburg,1
Orléans,1
Pfalz,1
Polen,1
Porto,1
Preußen,9
Rastatt,1
Rijswijk,1
Sachsen,1
Salm,11
Salzdahlum,1
Savoyen,2
Schotte,1
Schweden,5
Spanier,1
Stettin,1
Stockholm,1
Tönning,1
Ungarn,2
Ursel,16
Utrecht,2
Venedig,1
Weyhausen,1
Wien,11
Wolfenbüttel,3
Zweibrücken,1
