Place,Count
Aachen,4
Adda,2
Afrika,7
Ahlden,4
Alpen,2
Alster,2
Altdorf,6
Altona,4
Amerika,6
Amsterdam,18
Amsterdamer,4
Anhalt,23
Anjou,8
Ansbach,13
Antwerpen,2
Aquileja,2
Armenier,2
Asien,4
Astrachan,2
Augsburg,21
Australier,2
Auvergne,4
Avranches,7
Baden,20
Bamberg,4
Barcelona,8
Bayern,81
Bayreuth,8
Beichlingen,10
Belgrad,21
Bender,4
Berlin,369
Bevern,14
Bille,2
Blankenburg,6
Bonn,2
Borgholzhausen,3
Borgoforte,2
Boulogne,2
Bourg,2
Brandenburg,103
Brandenburger,6
Braunschweig,295
Breda,2
Bremen,6
Brenta,2
Brescello,4
Breslau,12
Bretagne,2
Bristol,2
Bruchhausen,4
Brüssel,6
Buckow,4
Buda,9
Burgdorf,6
Burgund,20
Böhmen,6
Bückeburg,8
Cadiz,2
Cambray,2
Cambridge,4
Campen,4
Celle,154
Chaldäa,4
Chaldäer,12
Champagne,2
Charlottenburg,6
China,20
Chios,2
Clausthal,2
Condom,3
Coppenbrügge,2
Crossen,2
Dalmatien,3
Danzig,6
Den Haag,16
Detmold,2
Deutschland,45
Dixmuiden,2
Dohna,16
Donau,17
Donauwörth,6
Dover,2
Dresden,25
Dänemark,82
Düsseldorf,4
Ebdorff,3
Ebstorf,20
Eider,2
Elbe,10
Elbing,2
England,333
Engländer,81
Ephesus,2
Essen,14
Etsch,2
Euböa,3
Europa,46
Europäer,2
Ferrara,2
Finnland,8
Florenz,9
Franken,6
Frankfurt,18
Frankreich,289
Franzose,4
Freising,3
Friesland,4
Fuentes,2
Fürstenberg,7
Fürstenfeldbruck,3
Gandersheim,2
Genf,2
Genua,4
Gibel,2
Gibraltar,2
Glogau,2
Goslar,2
Gotha,6
Graupen,4
Greiffenstein,3
Greifswald,2
Großbritannien,46
Großburgwedel,2
Grönland,2
Gundelsheim,2
Göhrde,15
Göteborg,4
Güstrow,2
Hackelberg,2
Halle,4
Hamburg,32
Hammerstein,17
Hannover,566
Harburg,12
Harz,16
Heidelberg,7
Helmstedt,18
Herford,2
Herrenhausen,129
Herzberg,2
Hessen,13
Hessen-Kassel,3
Het Loo,8
Hildesheim,52
Holland,110
Holländer,32
Holstein,46
Homburg,2
Hundisburg,2
Idria,3
Ilok,3
Indien,12
Ingenheim,2
Inn,5
Innsbruck,4
Irland,4
Israel,3
Italien,66
Italiener,12
Jena,6
Jerusalem,2
Kairo,4
Kap der Guten Hoffnung,2
Karlsbad,19
Kasan,2
Kassel,25
Kehl,2
Kiel,2
Kiew,2
Kliszów,4
Kniphausen,4
Koblenz,3
Konstantinopel,9
Kopenhagen,2
Krakau,26
Kroatien,2
Kurland,16
Kurpfalz,3
Kärnten,3
Köln,30
Königreich,42
Königsberg,2
Königsmarck,19
Königstein,6
Köpenick,4
La Trappe,9
Lamspringe,6
Landsberg,2
Lauenburg,4
Laxemburg,3
Laxenburg,2
Lehnin,6
Leipzig,16
Lenzen,6
Levante,5
Lichtenburg,2
Linsburg,37
Linz,8
Litauen,10
Litauer,2
Livland,6
Loccum,23
Lombardei,4
London,22
Loreto,6
Lothringen,35
Lustenburg,10
Lyon,6
Lübeck,2
Lüneborg,3
Lüneburg,36
Lüttich,11
Maas,8
Maastricht,4
Madrid,4
Magdeburg,20
Mailand,10
Maine,4
Maintenon,8
Mainz,10
Malchow,4
Malta,2
Mantua,7
Marienbad,2
Marlborough,48
Martinitz,2
Maubuisson,10
Meaux,36
Mecklenburg,13
Melle,2
Memel,2
Merseburg,6
Meseritz,2
Mittelmeer,2
Modena,45
Monferrato,2
Monmouth,4
Montepulciano,2
Moray,2
Morea,3
Moskau,10
München,18
Münster,20
Namur,4
Nassau,4
Nauplia,3
Neapel,14
Neuburg,7
Newcastle,4
Niederlande,2
Niedersachsen,2
Niederösterreich,2
Nienburg,4
Nimwegen,2
Nizza,3
Nola,2
Nordhausen,10
Nordmeer,2
Norwegen,4
Nöteburg,6
Nürnberg,4
Oberrhein,2
Oeynhausen,2
Oldenburg,2
