Place,Count
Aachen,4
Adda,3
Afrika,9
Ahlden,6
Alpen,3
Alster,3
Altdorf,9
Altona,5
Amerika,5
Amsterdam,21
Amsterdamer,4
Anhalt,27
Anjou,11
Ansbach,17
Antwerpen,3
Aquileja,2
Armenier,3
Asien,6
Astrachan,3
Augsburg,9
Augsburger,7
Australier,3
Auvergne,4
Avranches,8
Baden,20
Bamberg,4
Barcelona,9
Bayern,97
Bayreuth,12
Beichlingen,12
Belgrad,21
Bender,4
Berlin,466
Bevern,18
Bille,3
Blankenburg,6
Bonn,3
Borgholzhausen,3
Borgoforte,3
Boulogne,3
Bourg,3
Brandenburg,133
Brandenburger,9
Braunschweig,353
Breda,3
Bremen,9
Brenta,3
Brescello,3
Breslau,16
Bretagne,2
Bristol,2
Bruchhausen,6
Brüssel,7
Buckow,6
Buda,9
Burgdorf,6
Burgund,22
Böhmen,6
Bückeburg,10
Cadiz,3
Cambray,2
Cambridge,4
Campen,5
Celle,221
Chaldäa,6
Chaldäer,17
Champagne,2
Charlottenburg,6
China,27
Chios,3
Clausthal,3
Condom,3
Coppenbrügge,2
Crossen,2
Dalmatien,3
Danzig,8
Den Haag,18
Detmold,3
Deutschland,51
Dixmuiden,3
Dohna,18
Donau,22
Donauwörth,9
Dover,2
Dresden,30
Dänemark,93
Düsseldorf,6
Ebdorff,3
Ebstorf,21
Eider,3
Elbe,14
Elbing,2
England,361
Engländer,112
Ephesus,3
Essen,18
Etsch,3
Euböa,3
Europa,45
Europäer,3
Ferrara,3
Finnland,9
Florenz,12
Franken,8
Frankfurt,23
Frankreich,328
Franzose,6
Freising,3
Friesland,5
Fuentes,3
Fürstenberg,9
Fürstenfeldbruck,3
Gandersheim,3
Genf,3
Genua,5
Gibel,2
Gibraltar,3
Glogau,3
Goslar,3
Gotha,6
Graupen,6
Greiffenstein,3
Greifswald,2
Großbritannien,48
Großburgwedel,3
Grönland,3
Gundelsheim,2
Göhrde,17
Göteborg,6
Güstrow,3
Hackelberg,3
Halle,5
Hamburg,43
Hammerstein,20
Hannover,695
Harburg,10
Harburger,6
Harz,24
Heidelberg,8
Helmstedt,21
Herford,3
Herrenhausen,175
Herzberg,3
Hessen,16
Hessen-Kassel,3
Het Loo,12
Hildesheim,46
Hildesheimer,10
Holland,136
Holländer,41
Holstein,63
Homburg,3
