Place,Count
Ahlefeldt,1
Anhalt,5
Ansbach,1
Augsburg,1
Baden,6
Bayern,13
Belgrad,6
Berlin,8
Borgholzhausen,1
Brandenburg,6
Buda,3
Celle,2
Condom,1
Dalmatien,1
Deutschland,1
Dohna,2
Donau,1
Dresden,1
Dänemark,3
England,10
Euböa,1
Europa,1
Frankfurt,2
Frankreich,24
Freising,1
Fürstenberg,1
Fürstenfeldbruck,1
Großbritannien,4
Hannover,21
Heidelberg,1
Hessen,1
Hessen-Kassel,1
Holland,3
Holländer,2
Holstein,1
Idria,1
Ilok,1
Inn,1
Italien,2
Karlsbad,1
Kassel,1
Koblenz,1
Konstantinopel,1
Kurpfalz,1
Kärnten,1
Köln,2
Königsmarck,3
Laxenburg,1
Levante,1
Linsburg,1
Lothringen,7
Lüneburg,1
Lüttich,1
Mantua,1
Meaux,1
Modena,11
Morea,1
München,5
Nauplia,1
Neuburg,1
Oranien,15
Ostfriesland,1
Peterwardein,2
Pfalz,2
Pfalz-Neuburg,1
Philippsburg,1
Plittersdorf,1
Pottendorf,1
Prag,1
Preußen,1
Regensburg,3
Rhein,6
Rom,3
Saint Cyr,1
Savoyen,2
Schweden,1
Siebenbürgen,2
Spanier,1
Starhemberg,2
Steiermark,1
Temeswar,2
Toskana,1
Transsilvanien,1
Ungarn,5
Venedig,6
Venezianer,3
Vesuv,1
Walachei,1
Wales,4
Wangenheim,1
Wardein,1
Wien,19
Wolfenbüttel,1
Württemberg,1
Zellerfeld,1
