Place,Count
Afrika,1
Anhalt,3
Ansbach,1
Bayern,2
Bayreuth,2
Beichlingen,5
Berlin,28
Brandenburg,2
Braunschweig,12
Bremen,1
Brenta,1
Brescello,1
Burgdorf,3
Campen,1
Celle,20
Chios,1
Danzig,1
Detmold,1
Deutschland,1
Donauwörth,1
Dänemark,1
England,11
Engländer,7
Essen,1
Franken,1
Frankreich,8
Franzose,1
Fürstenberg,2
Göhrde,1
Hamburg,4
Hammerstein,2
Hannover,32
Harz,2
Herrenhausen,3
Hildesheim,10
Holland,6
Holstein,1
Homburg,1
Hundisburg,1
Italien,4
Italiener,1
Kairo,2
Kassel,4
Kehl,1
Konstantinopel,2
Kurland,1
Königstein,2
Köpenick,1
Lauenburg,1
Leipzig,1
Linsburg,1
Lübeck,1
Lüneburg,1
Magdeburg,1
Marlborough,4
Maubuisson,2
Mecklenburg,1
Nordhausen,4
Nürnberg,1
Oranienburg,2
Pfalz,3
Polen,6
Posen,1
Potsdam,1
Preußen,26
Rhein,1
Rom,2
Sachsen,6
Sachsen-Lauenburg,1
Schottland,1
Schulenburg,3
Schweden,13
Schwedt,1
Singen,1
Soest,1
Spanien,2
Stockholm,1
Thorn,1
Tirol,1
Venezianer,1
Wales,4
Wartenberg,4
Wien,1
Wolfenbüttel,3
Württemberg,1
Ägypten,1
