Place,Count
Anhalt,4
Ansbach,1
Augsburg,1
Baden,5
Bayern,11
Belgrad,6
Berlin,11
Brandenburg,3
Braunschweig,4
Budapest,4
Celle,1
Condom,1
Deutschland,1
Dohna,2
Donau,1
Dänemark,1
England,7
Euböa,1
Frankfurt,2
Frankreich,24
Freising,1
Fürstenberg,1
Fürstenfeldbruck,1
Großbritannien,3
Hannover,10
Heidelberg,1
Herrenhausen,3
Holland,2
Holländer,1
Holstein,1
Ilok,1
Inn,1
Koblenz,1
Konstantinopel,1
Kurpfalz,1
Köln,2
Königsmarck,2
Laxenburg,1
Lothringen,5
Lüttich,1
Mantua,1
Meaux,1
Morea,1
München,6
Nauplia,1
Neuburg,1
Oranien,7
Ostfriesland,1
Peterwardein,2
Pfalz,2
Pfalz-Neuburg,1
Philippsburg,1
Plittersdorf,1
Pottendorf,1
Preußen,1
Regensburg,3
Rhein,3
Rom,2
Schweden,1
Siebenbürgen,2
Temeswar,2
Toskana,1
Transsilvanien,1
Ungarn,2
Venedig,1
Venezianer,2
Walachei,1
Wales,3
Wangenheim,1
Wardein,1
Wien,28
Wolfenbüttel,1
Württemberg,1
