Place,Count
Amsterdam,3
Asien,1
Berlin,1
Brandenburg,5
Braunschweig,11
Bruchhausen,2
Burgund,1
Celle,5
Chaldäa,2
Chaldäer,5
China,2
Deutschland,1
Düsseldorf,1
England,8
Engländer,1
Essen,1
Frankreich,8
Gandersheim,1
Genf,1
Hamburg,1
Hammerstein,2
Hannover,10
Helmstedt,1
Herrenhausen,2
Het Loo,1
Hildesheim,2
Holland,5
Holstein,3
Indien,2
Italien,2
Jerusalem,1
Kiel,1
Köln,6
Levante,1
Linsburg,4
Lothringen,5
Maine,1
Maintenon,2
Modena,1
Monmouth,1
Münster,2
Nienburg,1
Nimwegen,1
Osnabrück,4
Ostfriesland,6
Pamiers,1
Paris,4
Pfalz,1
Polen,1
Rantzau,9
Rijswijk,1
Rom,16
Römer,1
Saint-Germain,2
Salisbury,1
Schulenburg,1
Sorbonne,2
Spanien,1
Trier,1
Vaudémont,1
Venedig,1
Wien,4
Wolfenbüttel,7
Ägypter,3
