Place,Count
Aachen,1
Ansbach,1
Bamberg,2
Barcelona,1
Berlin,15
Bevern,1
Brandenburg,1
Braunschweig,4
Bretagne,1
Chaldäer,1
Danzig,1
Deutschland,1
Dänemark,1
England,12
Engländer,2
Frankreich,5
Großbritannien,1
Halle,1
Hamburg,1
Hannover,13
Hildesheim,1
Holland,1
Indien,1
Ingenheim,1
Italien,1
Litauen,1
Lombardei,1
London,1
Lüneburg,1
Madrid,1
Mainz,2
Malta,1
Mantua,1
Marlborough,1
Merseburg,1
Oeynhausen,1
Orléans,1
Paris,1
Pfalz,2
Polen,7
Preußen,4
Raab,1
Sachsen,5
Schotte,2
Schottland,4
Schweden,11
Spanien,2
Sulzbach,1
Ungarn,2
Wien,8
Wolfenbüttel,6
