Place,Count
Alster,1
Altona,1
Anhalt,1
Anjou,2
Berlin,31
Bille,1
Bourg,1
Brandenburg,18
Braunschweig,8
Böhmen,1
Celle,8
Den Haag,1
Deutschland,1
Dänemark,15
Eider,1
Elbe,4
England,10
Engländer,1
Finnland,1
Frankreich,12
Göteborg,2
Hamburg,1
Hammerstein,1
Hannover,8
Harburg,1
Harz,2
Herrenhausen,14
Hessen,1
Het Loo,2
Holland,10
Holländer,3
Holstein,12
Indien,2
Italien,3
Italiener,1
Kassel,2
Lamspringe,2
Lehnin,3
Lenzen,3
Livland,3
Lombardei,1
Lustenburg,4
Magdeburg,3
Mailand,1
Modena,1
Neapel,3
Nürnberg,1
Oldenburg,1
Oranienburg,5
Orléans,2
Osterode,1
Paris,2
Pfalz,2
Pinneberg,1
Polen,11
Pommern,2
Potsdam,8
Preußen,4
Pyrmont,6
Raab,1
Ratzeburg,1
Riga,3
Römer,1
Sachsen,7
Saint Germain,1
Schweden,14
Schönhausen,1
Sizilien,2
Spandau,2
Spanien,8
Spanier,4
Stormarn,1
Straßburg,1
Stör,2
Tönning,3
Wangenheim,1
Warschau,1
Wien,4
Wildeshausen,2
Wolfenbüttel,4
Württemberg,1
Ziesar,1
Zweibrücken,1
Äthiopien,1
