Place,Count
Amerika,1
Aquileja,1
Avranches,1
Barcelona,2
Bayern,1
Berlin,8
Braunschweig,6
Bückeburg,1
Celle,2
Crossen,1
Den Haag,1
Deutschland,1
Dresden,3
England,3
Essen,2
Europa,1
Frankreich,1
Friesland,1
Göhrde,2
Hannover,12
Herrenhausen,2
Hessen,1
Hildesheim,11
Holland,4
Holländer,2
Karlsbad,1
Kassel,1
Köpenick,1
Landsberg,1
Leipzig,2
Lichtenburg,1
Linz,1
Loccum,1
Lothringen,1
Maas,1
Mailand,1
Mainz,1
Mecklenburg,1
Modena,1
Münster,1
Nassau,1
Niedersachsen,1
Nordhausen,1
Orléans,1
Osterode,1
Ostsee,1
Paris,3
Peine,1
Petersburg,1
Pfalz,5
Polen,4
Pommern,1
Preußen,12
Pruth,1
Pyrmont,2
Rom,1
Sachsen,3
Schulenburg,1
Schweden,7
Spanien,5
Torgau,6
Trier,1
Ungarn,3
Wien,5
Wolfenbüttel,5
