Place,Count
Afrika,1
Ahlden,2
Ahlefeldt,1
Amsterdam,2
Anhalt,5
Ansbach,1
Augsburg,2
Augsburger,1
Avranches,1
Baden,6
Bayern,13
Bayreuth,1
Belgrad,7
Bellamont,1
Berlin,11
Borgholzhausen,1
Brandenburg,13
Bremen,1
Buda,3
Böhmen,1
Celle,15
Clausthal,1
Condom,1
Dalmatien,1
Dennem,1
Deutschland,3
Dixmuiden,1
Dohna,2
Donau,1
Dresden,3
Dänemark,9
Ebstorf,7
England,18
Engländer,10
Etsch,1
Euböa,1
Europa,5
Europäer,1
Florenz,2
Franken,1
Frankfurt,2
Frankreich,39
Freising,1
Friesland,1
Fürstenberg,1
Fürstenfeldbruck,1
Gargan,1
Genua,1
Goslar,1
Gotha,2
Greiffenstein,1
Großbritannien,4
Grönland,1
Göhrde,2
Güstrower,1
Hamburg,1
Hammerstein,1
Hannover,52
Hanover,3
Harburg,1
Harburger,2
Heidelberg,1
Hessen,3
Hessen-Kassel,1
Holland,5
Holländer,2
Holstein,4
Idria,1
Ilok,1
Inn,1
Israel,1
Italien,3
Italiener,2
Karlsbad,1
Kassel,2
Koblenz,1
Konstantinopel,1
Kurpfalz,1
Kärnten,1
Köln,2
Königsmarck,6
La Trappe,3
Laxenburg,1
Levante,1
Linsburg,6
Loccum,6
London,1
Loreto,2
Lothringen,7
Lyon,3
Lüneborg,1
Lüneburg,9
Lüttich,1
Mainz,2
Mantua,1
Maubuisson,2
Meaux,12
Mecklenburg,1
Modena,13
Morea,1
München,5
Namur,2
Nassau,1
Nauplia,1
Neuburg,2
Nizza,1
Nordmeer,1
Norwegen,1
Oranien,16
Orléans,3
Ostfriesland,3
Paris,7
Peterwardein,2
Pfalz,2
Pfalz-Neuburg,1
Philippsburg,2
Plittersdorf,1
Po,1
Pottendorf,1
Prag,1
Preußen,1
Regensburg,4
Rhein,7
Rom,3
Ruhr,3
Römer,2
Sachsen,2
Sachsen-Gotha,1
Saint Cyr,1
Salzburg,1
Salzdahlum,1
Savoyen,4
Schotte,1
Schweden,1
Siebenbürgen,3
Sorbonne,2
Spanien,2
Spanier,4
Stade,1
Starhemberg,2
Steiermark,1
Sulzbach,2
Temeswar,2
Toskana,2
Transsilvanien,1
Ungarn,5
Venedig,7
Venezianer,3
Vesuv,1
Walachei,1
Wales,4
Wangenheim,1
Wardein,1
Wien,20
Wolfenbüttel,9
Württemberg,1
Zell,1
Zellerfeld,2
