Place,Count
Aachen,4
Adda,3
Afrika,8
Ahlden,6
Alpen,2
Alster,3
Altdorf,9
Altona,5
Amerika,5
Amsterdam,21
Amsterdamer,4
Anhalt,24
Anjou,11
Ansbach,13
Antwerpen,3
Aquileja,2
Armenier,3
Asien,6
Astrachan,3
Augsburg,8
Augsburger,7
Australier,3
Auvergne,4
Avranches,8
Baden,20
Bamberg,4
Barcelona,9
Bayern,87
Bayreuth,10
Beichlingen,8
Belgrad,21
Bender,4
Berlin,432
Bevern,16
Bille,3
Blankenburg,6
Bonn,3
Borgholzhausen,3
Borgoforte,3
Boulogne,2
Bourg,3
Brandenburg,133
Brandenburger,8
Braunschweig,341
Breda,3
Bremen,8
Brenta,2
Brescello,3
Breslau,16
Bretagne,2
Bristol,2
Bruchhausen,6
Brüssel,6
Buckow,6
Buda,9
Burgdorf,4
Burgund,22
Böhmen,6
Bückeburg,9
Cadiz,3
Cambray,2
Cambridge,4
Campen,4
Celle,199
Chaldäa,6
Chaldäer,17
Champagne,2
Charlottenburg,6
China,27
Chios,2
Clausthal,3
Condom,3
Coppenbrügge,2
Crossen,2
Dalmatien,3
Danzig,7
Den Haag,18
Detmold,2
Deutschland,50
Dixmuiden,3
Dohna,17
Donau,19
Donauwörth,6
Dover,2
Dresden,30
Dänemark,91
Düsseldorf,6
Ebdorff,3
Ebstorf,21
Eider,3
Elbe,14
Elbing,2
England,347
Engländer,103
Ephesus,3
Essen,17
Etsch,3
Euböa,3
Europa,44
Europäer,3
Ferrara,3
Finnland,9
Florenz,12
Franken,7
Frankfurt,23
Frankreich,311
Franzose,5
Freising,3
Friesland,5
Fuentes,3
Fürstenberg,7
Fürstenfeldbruck,3
Gandersheim,3
Genf,3
Genua,5
Gibel,2
Gibraltar,3
Glogau,3
Goslar,3
Gotha,6
Graupen,6
Greiffenstein,3
Greifswald,2
Großbritannien,48
Großburgwedel,2
Grönland,3
Gundelsheim,2
Göhrde,16
Göteborg,6
Güstrow,3
Hackelberg,3
Halle,5
Hamburg,39
Hammerstein,19
Hannover,654
Harburg,10
Harburger,6
Harz,22
Heidelberg,7
Helmstedt,20
Herford,2
Herrenhausen,166
Herzberg,3
Hessen,16
Hessen-Kassel,3
Het Loo,12
Hildesheim,40
Hildesheimer,8
Holland,127
Holländer,38
Holstein,62
Homburg,2
