Place,Count
Adda,1
Afrika,1
Antwerpen,1
Armenier,1
Asien,1
Berlin,14
Bonn,1
Brandenburg,3
Braunschweig,5
Breda,1
Breslau,4
Buckow,1
Böhmen,1
Celle,8
China,2
Den Haag,1
Deutschland,1
Donau,2
Dresden,1
Dänemark,1
Düsseldorf,1
England,16
Engländer,4
Essen,1
Europa,5
Florenz,2
Frankfurt,1
Frankreich,4
Fuentes,1
Gibraltar,1
Graupen,2
Großbritannien,2
Hamburg,3
Hannover,11
Herrenhausen,10
Het Loo,1
Holland,4
Holländer,1
Irland,1
Italien,6
Köln,2
Königsberg,1
Königstein,1
Lamspringe,1
Litauer,1
London,1
Lustenburg,1
Lüttich,2
Magdeburg,1
Malchow,1
Mittelmeer,1
Monmouth,1
Moray,1
Moskau,3
Neapel,3
Oranienburg,3
Orléans,2
Paris,2
Persien,2
Polen,4
Preußen,3
Quedlinburg,1
Rhein,1
Rotterdam,1
Salisbury,1
Salzdahlum,1
Savoyen,1
Schottland,1
Schulenburg,1
Schwarze Meer,1
Schweden,2
Seesen,1
Sesto,2
Spandau,1
Spanien,4
Teplitz,1
Toskana,1
Türkei,1
Venedig,1
Venezianer,1
Wales,3
Wartenberg,4
Wien,4
Wittenberg,1
Wolfenbüttel,4
