Place,Count
Altona,1
Augsburg,4
Bayern,3
Bender,1
Berlin,4
Blankenburg,1
Brandenburg,1
Braunschweig,12
Bristol,1
Burgund,1
Bückeburg,1
Cambray,1
Champagne,1
China,1
Coppenbrügge,1
Deutschland,2
Donau,2
Dänemark,4
Elbe,1
Elbing,1
England,19
Engländer,6
Europa,1
Frankreich,6
Genua,1
Großbritannien,3
Hamburg,1
Hammerstein,1
Hannover,21
Harburg,2
Herrenhausen,6
Holland,1
Holländer,1
Inn,1
Innsbruck,1
Italien,2
Karlsbad,2
Köln,3
Laxenburg,1
Linz,3
Mecklenburg,1
Memel,1
Monferrato,1
Montepulciano,1
Moskau,1
Münster,3
Niederösterreich,1
Oberrhein,1
Orange,4
Orléans,1
Ostsee,1
Paris,5
Petersburg,1
Pfalz,1
Polen,5
Preußen,10
Pyrmont,1
Rappach,3
Rhein,1
Rhône,1
Rom,1
Sachsen,2
Saint James,1
Salisbury,1
Salm,2
Salzdahlum,1
Schweden,5
Shrewsbury,3
Spanien,1
Sternberg,1
Stettin,1
Tirol,3
Tokaj,1
Transsilvanien,1
Turku,1
Tönning,1
Ungarn,1
Ursel,2
Utrecht,1
Warschau,1
Weser,1
Wien,25
Wolfenbüttel,1
Württemberg,1
