Place,Count
Aachen,4
Adda,2
Afrika,7
Ahlden,6
Alpen,2
Alster,2
Altdorf,9
Altona,4
Amerika,7
Amsterdam,21
Amsterdamer,4
Anhalt,23
Anjou,8
Ansbach,13
Antwerpen,2
Aquileja,2
Armenier,2
Asien,4
Astrachan,2
Augsburg,22
Australier,3
Auvergne,4
Avranches,8
Baden,20
Bamberg,4
Barcelona,8
Bayern,81
Bayreuth,9
Beichlingen,10
Belgrad,21
Bender,4
Berlin,375
Bevern,15
Bille,2
Blankenburg,6
Bonn,2
Borgholzhausen,3
Borgoforte,2
Boulogne,2
Bourg,2
Brandenburg,115
Brandenburger,6
Braunschweig,336
Breda,2
Bremen,8
Brenta,2
Brescello,4
Breslau,12
Bretagne,2
Bristol,2
Bruchhausen,4
Brüssel,6
Buckow,4
Buda,9
Burgdorf,6
Burgund,21
Böhmen,7
Bückeburg,9
Cadiz,2
Cambray,2
Cambridge,4
Campen,4
Celle,168
Chaldäa,4
Chaldäer,12
Champagne,2
Charlottenburg,6
China,20
Chios,2
Clausthal,3
Condom,3
Coppenbrügge,2
Crossen,2
Dalmatien,3
Danzig,6
Den Haag,16
Detmold,2
Deutschland,49
Dixmuiden,3
Dohna,16
Donau,17
Donauwörth,6
Dover,2
Dresden,28
Dänemark,89
Düsseldorf,4
Ebdorff,3
Ebstorf,20
Eider,2
Elbe,10
Elbing,2
England,341
Engländer,92
Ephesus,2
Essen,15
Etsch,3
Euböa,3
Europa,51
Europäer,3
Ferrara,2
Finnland,8
Florenz,10
Franken,7
Frankfurt,18
Frankreich,313
Franzose,5
Freising,3
Friesland,5
Fuentes,2
Fürstenberg,7
Fürstenfeldbruck,3
Gandersheim,2
Genf,2
Genua,5
Gibel,2
Gibraltar,2
Glogau,2
Goslar,3
Gotha,9
Graupen,4
Greiffenstein,3
Greifswald,2
Großbritannien,49
Großburgwedel,2
Grönland,3
Gundelsheim,2
Göhrde,16
Göteborg,4
Güstrow,3
Hackelberg,3
Halle,4
Hamburg,34
Hammerstein,18
Hannover,600
Harburg,15
Harz,16
Heidelberg,7
Helmstedt,19
Herford,2
Herrenhausen,133
Herzberg,2
Hessen,15
Hessen-Kassel,3
Het Loo,8
Hildesheim,52
Holland,113
Holländer,32
Holstein,49
Homburg,2
Hundisburg,2
Idria,3
Ilok,3
Indien,12
Ingenheim,2
Inn,5
Innsbruck,5
Irland,5
Israel,3
Italien,72
Italiener,16
Jena,7
Jerusalem,2
Kairo,4
Kap der Guten Hoffnung,2
Karlsbad,19
Kasan,2
Kassel,26
Kehl,2
Kiel,2
Kiew,2
Kliszów,4
Kniphausen,4
Koblenz,3
Konstantinopel,10
Kopenhagen,2
Krakau,26
Kroatien,2
Kurland,16
Kurpfalz,3
Kärnten,3
Köln,31
Königreich,48
Königsberg,2
Königsmarck,24
Königstein,6
Köpenick,4
La Trappe,9
Lamspringe,6
Landsberg,2
Lauenburg,4
Laxemburg,3
Laxenburg,2
Lehnin,6
Leipzig,16
Lenzen,6
Levante,5
Lichtenburg,2
Linsburg,44
Linz,8
Litauen,10
Litauer,2
Livland,6
Loccum,25
Lombardei,4
London,24
Loreto,6
Lothringen,36
Lustenburg,10
Lyon,9
Lübeck,2
Lüneborg,3
Lüneburg,39
Lüttich,11
Maas,8
Maastricht,5
Madrid,4
Magdeburg,20
Mailand,10
Maine,4
Maintenon,9
Mainz,12
Malchow,4
Malta,2
Mantua,8
Marienbad,3
Marlborough,48
Martinitz,2
Maubuisson,10
Meaux,42
Mecklenburg,13
Melle,3
Memel,2
Merseburg,6
Meseritz,2
Mittelmeer,2
Modena,47
Monferrato,2
Monmouth,4
Montepulciano,2
Moray,2
Morea,3
Moskau,10
München,18
Münster,20
Namur,6
Nassau,5
Nauplia,3
Neapel,14
Neuburg,8
Newcastle,4
Niederlande,3
Niedersachsen,2
Niederösterreich,2
Nienburg,4
Nimwegen,2
Nizza,3
Nola,3
Nordhausen,10
Nordmeer,3
Norwegen,6
Nöteburg,6
Nürnberg,4
Oberrhein,2
Oeynhausen,2
Oldenburg,2
