Place,lat,lon,attribution,attribution_license,attribution_url
Stamford,52.653656,-0.483421,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Steevenswert,51.131304,5.846021,,,
Sternberg,53.7118374,11.8288314,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Stettin,53.4301818,14.5509623,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Stockholm,59.3251172,18.0710935,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Sulzbach,50.302682,7.7518932,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Tangermünde,52.5431104,11.9722524,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Temeswar,45.7538355,21.2257474,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Teplitz,50.6406644,13.8244461,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Tettau,51.4314023,13.7305944,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Thorn,53.0102721,18.6048094,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Tokaj,48.1235534,21.4113895,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Torgau,51.5581272,13.0046538,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Trier,49.7596208,6.6441878,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Tönning,54.3188928,8.9437049,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Ulm,48.3984968,9.9912458,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Ursel,51.6545671,6.4104753,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Utrecht,52.0907006,5.1215634,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Venedig,45.4371908,12.3345898,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Venlo,51.3702109,6.1688954,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Vigo,42.2376602,-8.7247205,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Wangenheim,51.0194279,10.6251214,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Warschau,52.2319581,21.0067249,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Wartenberg,52.6380786,11.5103221,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Wesel,51.6576909,6.617087,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Weyhausen,52.4627787,10.7193022,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Wien,48.2083537,16.3725042,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Wildeshausen,52.897103,8.4364342,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Wismar,53.8909832,11.4647932,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Wittenberg,51.8666527,12.646761,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Wolfenbüttel,52.1625283,10.5348215,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
York,53.9590555,-1.0815361,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Zell,50.7305045,9.1955275,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Zellerfeld,51.816005,10.3370282,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Zerbst,51.96973975,12.07454635351719,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Ziesar,52.2308147,12.380330907840996,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Zweibrücken,49.248655,7.3641981,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Alpen,46.753019,9.773316,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Gibel,46.768643,8.189769,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Harz,51.7249376,10.69489239078069,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Kap der Guten Hoffnung,-34.35811,18.47193,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Vesuv,40.8213963,14.4261967,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Ätna,37.7510251,14.9940321,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Chaldäa,32.520346,45.064036,,,
Het Loo,52.3694576,6.5754279,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Ilok,45.2215817,19.3754013,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
La Trappe,48.6375,0.573333,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Lichtenburg,51.662222,12.931944,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Lustenburg,52.521111,13.295833,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Nöteburg,59.9221789,31.08367130537382,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Oranien,43.968637,4.889888,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Salm,50.152507,6.6903569,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Wardein,48.2257593,22.0784247,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Anhalt,51.81717865,11.814186642054064,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Anjou,47.473275,-0.594874,,,
Auvergne,45.699945,3.299964,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Baden,48.551801,8.423231,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
Bayern,48.9467562,11.4038717,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Bretagne,48.2640845,-2.9202408,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Burgund,47.052609,4.383719,,,
Böhmen,50.077653,14.43208,,,
Champagne,48.965329,4.366658,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
Dalmatien,43.564955,16.494169,,,
Euböa,38.519828,23.852789,,,
Friesland,53.015074,5.684645,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Hessen,50.6080651,9.0284647,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Hessen-Kassel,51.2934378,9.506804977727738,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Holland,52.367472,4.782052,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
Holstein,54.081695,9.794596,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
Kurland,56.879897,22.908946,,,
Kurpfalz,49.445913,8.539779,,,
Levante,33.92065,35.971788,,,
Livland,57.126467,25.03132,,,
Lombardei,45.5703694,9.7732524,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Lothringen,48.528061,6.513075,,,
Maine,48.016481,-0.007138,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Moray,57.416667,-3.25,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Morea,37.357286,22.353978,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
Niedersachsen,52.8398531,9.075962,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Niederösterreich,48.2817813,15.7632457,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Ostfriesland,53.426203,7.641571,,,
Persien,31.89677,53.204575,,,
Pfalz,50.099567,7.268906,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
Pfalz-Neuburg,48.666349,11.235705,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
Piemont,45.060735,7.923549,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Pommern,53.811632,15.51993,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Sachsen,50.9295798,13.4585052,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Sachsen-Gotha,50.943449,10.700826,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
Sachsen-Lauenburg,51.042135,13.372536,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
Sachsen-Merseburg,51.351206,11.985029,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
Salm,51.85066,6.819067,,,
Savoyen,45.674003,6.318783,,,
Schlesien,51.100086,17.018497,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Seeland,51.4162975,3.7028061,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Sizilien,37.587794,14.155048,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Steiermark,47.2500001,15.1666665,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Stormarn,53.7215127,10.3586145,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Straßburg,48.575641,7.751479,a,a,a
Thüringen,50.9014721,11.0377839,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Tirol,47.223193,11.5261028,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Toskana,43.4586541,11.1389204,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Transsilvanien,46.222256,25.208633,,,
Turku,60.447147,22.255734,,,
Vaudémont,48.421555,6.057865,,,
Venetien,45.6476663,11.8665254,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Walachei,44.576358,25.070282,,,
Wales,52.2928116,-3.73893,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Württemberg,48.605915,9.147881,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
