Place,lat,lon,attribution,attribution_license,attribution_url
Buckow,52.5786194,12.5450727,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Budapest,47.4938673,19.0417582,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Burgdorf,52.4438008,10.0078364,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Bückeburg,52.2611037,9.0488959,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Cadiz,36.5297438,-6.2928976,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Cambray,48.173771,1.7161944,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Cambridge,52.2055314,0.1186637,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Campen,52.6667657,8.9491653,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Celle,52.624056,10.081052,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Charlottenburg,52.515747,13.3096834,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Chios,45.2839665,7.4037719,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Clausthal,51.8043301,10.3338277,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Condom,43.9564563,0.3745929,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Coppenbrügge,52.1202595,9.5493252,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Crossen,50.7585157,12.4841995,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Danzig,54.3482907,18.6540233,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Den Haag,52.0799838,4.3113461,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Detmold,51.936284,8.8791526,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Dixmuiden,51.031578,2.863802,,,
Dohna,50.955232,13.8587012,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Donauwörth,48.7180364,10.7807299,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Dover,51.1251275,1.3134228,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Dresden,51.0493286,13.7381437,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Düsseldorf,51.2254018,6.7763137,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Ebstorf,53.0273634,10.4178494,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Elbing,54.1558708,19.4044583,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Ephesus,37.949589,27.351896,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Essen,51.4582235,7.0158171,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Ferrara,44.8372737,11.6186451,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Florenz,43.7697955,11.2556404,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Frankfurt,50.1106444,8.6820917,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Freising,48.4008273,11.7439565,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
