Place,Count,lat,lon,attribution,attribution_license,attribution_url
Holstein,6,54.081695,9.794596,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
Homburg,1,49.3181673,7.3340336,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Indien,4,22.3511148,78.6677428,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Ingenheim,1,48.7351268,7.5193525,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Italien,6,42.6384261,12.674297,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Karlsbad,2,50.2306216,12.8701437,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Kassel,6,51.3154546,9.4924096,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Konstantinopel,1,41.006381,28.9758715,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Krakau,1,50.0619474,19.9368564,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Kurland,3,56.879897,22.908946,,,
Kurpfalz,1,49.445913,8.539779,,,
Köln,2,50.938361,6.959974,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Königsmarck,3,53.6004642,9.4709801,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Königstein,1,50.9185261,14.0732271,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Köpenick,1,52.4450491,13.5754153,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
La Trappe,1,48.6375,0.573333,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Lamspringe,2,51.9597621,10.009887,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Linsburg,12,52.5936072,9.3040316,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Livland,1,57.126467,25.03132,,,
Loccum,3,52.4546364,9.1462122,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
London,4,51.5074456,-0.1277653,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Loreto,1,43.439498,13.6070214,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Lothringen,1,48.528061,6.513075,,,
Lustenburg,4,52.521111,13.295833,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Lübeck,1,53.866444,10.684738,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Lüneburg,7,53.248706,10.407855,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Lüttich,1,50.6450944,5.5736112,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Madrid,1,40.4167047,-3.7035825,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Magdeburg,3,52.1315889,11.6399609,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Mailand,3,45.4641943,9.1896346,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Maintenon,2,48.5865517,1.5773313,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Mainz,2,50.0012314,8.2762513,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
