Place,Count
Bayern,1
Belgrad,2
Dänemark,1
Frankreich,1
Hannover,1
Ilok,1
OberUngarn,1
Ostfriesland,1
Pest,1
Peterwardein,1
Regensburg,1
Siebenbürgen,2
Türke,1
Ungarn,1
Wardein,1
Wien,1
